Station,Date,tre200s0,rre150z0_x,sre000z0,gre000z0,ure200s0,tde200s0,dkl010z0,fu3010z0,fu3010z1,prestas0,pp0qffs0,pp0qnhs0,ppz850s0,ppz700s0,dv1towz0,fu3towz0,fu3towz1,ta1tows0,uretows0,tdetows0,Kanton,Niederschlag
SAG,2024-03-07 12:50,2.10,0.00,-,-,93.40,1.10,212.00,6.80,9.40,925.00,-,1016.70,1468.40,-,-,-,-,-,-,-,SZ,
SHA,2024-03-07 12:50,5.30,0.00,0.00,98.00,76.80,1.60,59.00,19.10,29.90,966.30,1019.40,1018.20,-,-,-,-,-,-,-,-,SH,
SRS,2024-03-07 12:50,8.20,0.00,-,-,65.00,2.00,208.00,6.80,10.10,-,-,-,-,-,-,-,-,-,-,-,GR,
SCM,2024-03-07 12:50,-,-,-,-,-,-,69.00,8.30,14.80,969.20,-,1017.50,-,-,-,-,-,-,-,-,SG,
SPF,2024-03-07 12:50,2.10,0.00,-,261.00,99.20,2.00,157.00,1.40,2.50,930.70,-,1017.40,1471.50,-,-,-,-,-,-,-,LU,
SCU,2024-03-07 12:50,4.10,0.00,10.00,650.00,55.00,-4.10,71.00,1.80,6.10,867.50,-,1015.00,1470.90,-,-,-,-,-,-,-,GR,
SIA,2024-03-07 12:50,1.80,0.00,10.00,724.00,56.30,-6.00,258.00,18.00,27.40,815.10,-,1014.10,1465.00,-,-,-,-,-,-,-,GR,
SIM,2024-03-07 12:50,5.00,0.00,10.00,718.00,41.20,-7.10,140.00,7.20,13.70,849.30,-,1014.30,1466.30,-,-,-,-,-,-,-,VS,
SIO,2024-03-07 12:50,11.70,0.00,10.00,661.00,40.50,-1.30,220.00,4.30,9.40,958.50,1015.10,1015.30,-,-,-,-,-,-,-,-,VS,
PRE,2024-03-07 12:50,-,-,-,-,-,-,135.00,7.60,13.70,-,-,-,-,-,-,-,-,-,-,-,VD,
STC,2024-03-07 12:50,-,-,0.00,224.00,-,-,-,-,-,-,-,-,-,-,110.00,25.60,31.70,3.20,79.70,0.00,BS,
STG,2024-03-07 12:50,2.90,0.00,0.00,261.00,82.40,0.20,39.00,8.60,15.50,926.50,-,1016.70,1469.50,-,-,-,-,-,-,-,SG,
SMM,2024-03-07 12:50,5.80,0.00,10.00,711.00,43.00,-5.80,13.00,3.60,5.40,857.80,-,1013.80,1461.80,-,-,-,-,-,-,-,GR,
SBO,2024-03-07 12:50,13.70,0.00,10.00,604.00,45.80,2.20,106.00,7.20,17.30,974.20,1015.70,1016.00,-,-,-,-,-,-,-,-,TI,
STK,2024-03-07 12:50,-,-,-,-,-,-,77.00,7.20,11.20,971.10,-,1018.20,-,-,-,-,-,-,-,-,TG,
SAE,2024-03-07 12:50,-4.60,0.00,10.00,640.00,57.10,-11.80,305.00,5.80,7.90,746.70,-,1012.40,-,3000.20,-,-,-,-,-,-,AI,
THU,2024-03-07 12:50,5.70,0.00,0.00,234.00,68.00,0.30,317.00,2.20,6.10,950.40,1018.50,1017.30,-,-,-,-,-,-,-,-,BE,
TIT,2024-03-07 12:50,-6.10,-,10.00,743.00,75.50,-9.70,345.00,1.40,7.60,691.60,-,1012.10,-,3003.10,-,-,-,-,-,-,OW,
UEB,2024-03-07 12:50,-,-,0.00,91.00,-,-,-,-,-,-,-,-,-,-,82.00,16.60,22.00,0.80,93.30,-0.20,ZH,
ULR,2024-03-07 12:50,3.30,0.00,10.00,664.00,57.90,-4.20,234.00,1.80,2.90,862.40,-,1014.20,1464.70,-,-,-,-,-,-,-,VS,
VAD,2024-03-07 12:50,9.90,0.00,10.00,667.00,56.00,1.50,323.00,11.50,20.50,962.80,1017.10,1016.80,-,-,-,-,-,-,-,-,FL,
VAB,2024-03-07 12:50,-0.80,0.00,10.00,680.00,91.30,-2.00,340.00,8.60,15.50,839.40,-,1014.40,1468.80,-,-,-,-,-,-,-,GR,
VLS,2024-03-07 12:50,4.90,0.00,10.00,668.00,58.10,-2.60,14.00,4.70,9.40,-,-,-,-,-,-,-,-,-,-,-,GR,
VEV,2024-03-07 12:50,8.10,0.00,10.00,674.00,55.50,-0.30,250.00,9.00,14.00,-,-,-,-,-,-,-,-,-,-,-,VD,
VIO,2024-03-07 12:50,6.20,0.00,0.00,300.00,44.00,-5.10,252.00,7.20,11.90,890.90,-,1015.40,1473.60,-,-,-,-,-,-,-,GR,
VIT,2024-03-07 12:50,5.50,0.00,-,-,79.00,2.20,59.00,10.10,16.90,-,-,-,-,-,-,-,-,-,-,-,VD,
VIS,2024-03-07 12:50,10.10,0.00,10.00,642.00,42.40,-2.10,216.00,4.00,6.80,939.90,-,1014.60,1469.30,-,-,-,-,-,-,-,VS,
