Station Category,Station Type,ID Hash,WMO ID,Alternative IDs,Ort,"Location Lat,Lon",elevation,id_meteomatics
SYNOP,SYNO,3541964351,,VSEMO,Emosson,"46.0656,6.93028",1923.0,"46.0656,6.93028"
SYNOP,SYNO,3567577352,,DEH,Degersheim,"47.3659,9.19419",830.0,"47.3659,9.19419"
SYNOP,SYNO,3572767900,67150.0,EVI,Evionnaz,"46.1829,7.02675",482.0,"46.1829,7.02675"
SYNOP,SYNO,3579170313,67130.0,CDM,Col des Mosses,"46.3915,7.09824",1412.0,"46.3915,7.09824"
SYNOP,SYNO,3580300436,,EUT,Euthal,"47.099,8.81824",910.0,"47.099,8.81824"
SYNOP,SYNO,3583659259,,LFB,Laufenburg,"47.5477,8.05444",329.0,"47.5477,8.05444"
SYNOP,SYNO,3585833997,,HEK,Hessigkofen,"47.142,7.46962",580.0,"47.142,7.46962"
SYNOP,SYNO,3589262656,67090.0,BOU,Bouveret,"46.3935,6.85701",374.0,"46.3935,6.85701"
SYNOP,SYNO,3589320001,,AGSTE,Stetten,"47.3965,8.29999",355.0,"47.3965,8.29999"
SYNOP,SYNO,3592682317,67160.0,MTE,Mottec,"46.1479,7.62403",1580.0,"46.1479,7.62403"
SYNOP,SYNO,3610804691,,DMA,Dischma,"46.7719,9.88209",1710.0,"46.7719,9.88209"
SYNOP,SYNO,3614359397,,EGR,Eggersriet,"47.4387,9.4679",770.0,"47.4387,9.4679"
SYNOP,SYNO,3643726974,67560.0,COM,Acquarossa / Comprovasco,"46.4595,8.93549",575.0,"46.4595,8.93549"
SYNOP,SYNO,3648886745,,SNG,Seengen,"47.3274,8.18846",445.0,"47.3274,8.18846"
SYNOP,SYNO,3664176102,66400.0,MAS,Marsens,"46.6565,7.06967",715.0,"46.6565,7.06967"
SYNOP,SYNO,3664576262,,TDG,Tour de Gourze,"46.5103,6.74095",915.0,"46.5103,6.74095"
SYNOP,SYNO,3667667806,66120.0,CDF,La Chaux-de-Fonds,"47.0829,6.79231",1017.0,"47.0829,6.79231"
SYNOP,SYNO,3674513698,,LAB,Langenbruck,"47.3529,7.75959",731.0,"47.3529,7.75959"
SYNOP,SYNO,3684421053,67600.0,OTL,Locarno / Monti,"46.1723,8.78749",367.0,"46.1723,8.78749"
SYNOP,SYNO,3685545437,,LOH,"Lohn, SH","47.7519,8.67764",585.0,"47.7519,8.67764"
SYNOP,SYNO,3711966187,,MAB,Martigny,"46.1098,7.06252",461.0,"46.1098,7.06252"
SYNOP,SYNO,3724105602,,WIN,Winterthur / Seen,"47.4747,8.76319",506.0,"47.4747,8.76319"
SYNOP,SYNO,3735448080,,GOA,Göscheneralp,"46.6475,8.50003",1745.0,"46.6475,8.50003"
SYNOP,SYNO,3740550157,,FRI,Frick,"47.5136,8.01419",345.0,"47.5136,8.01419"
SYNOP,SYNO,3743042660,67270.0,VIS,Visp,"46.3029,7.84296",639.0,"46.3029,7.84296"
SYNOP,SYNO,3761483544,,TFD,Linthal / Tierfehd,"46.8792,8.98372",810.0,"46.8792,8.98372"
SYNOP,SYNO,3782550779,,KIB,"Kirchberg, SG","47.4226,9.00128",742.0,"47.4226,9.00128"
SYNOP,SYNO,3797361666,67940.0,ROB,Poschiavo / Robbia,"46.3472,10.063",1078.0,"46.3472,10.063"
SYNOP,SYNO,3799398054,,VSSTA,Stafel,"46.0046,7.67894",2183.0,"46.0046,7.67894"
SYNOP,SYNO,3810397321,,ALS,"Altstätten, SG","47.3832,9.55653",430.0,"47.3832,9.55653"
SYNOP,SYNO,3825006118,,VSCHY,Champéry,"46.1627,6.86112",1055.0,"46.1627,6.86112"
SYNOP,SYNO,3826276948,,KRO,Kronberg,"47.2915,9.32759",1645.0,"47.2915,9.32759"
SYNOP,SYNO,3839793906,,BNE,Les Brenets,"47.072,6.71022",908.0,"47.072,6.71022"
SYNOP,SYNO,3860399071,,SIE,Siebnen,"47.1715,8.90048",452.0,"47.1715,8.90048"
