id_openweathermap,name,country,"Location Lat,Lon",region,city
2658378,Thörishaus,CH,"46.893871,7.35131",Bern,Neuenegg
2658379,Thorberg,CH,"47.001289,7.56544",Bern,Krauchthal
2658380,Bezirk Thierstein,CH,"47.383331,7.55",Solothurn,Büsserach
2658381,Thierrens,CH,"46.703289,6.75624",Vaud,Montanaire
2658382,Thierachern,CH,"46.753189,7.57442",Bern,Thierachern
2658386,Therwil,CH,"47.501171,7.55286",Basel-Landschaft,Therwil
2658387,Thayngen,CH,"47.747169,8.70724",Schaffhausen,Thayngen
2658388,Thalwil,CH,"47.291752,8.56351",Zürich,Thalwil
2658394,Teuffenthal,CH,"46.767658,7.71142",Bern,Teuffenthal
2658395,Teufenthal,CH,"47.328629,8.12074",Aargau,Teufenthal
2658396,Freienstein-Teufen,CH,"47.549999,8.55",Zurich,Bülach
2658397,Teufen,CH,"47.3908,9.38644",Appenzell Ausserrhoden,Teufen
2658398,Tesserete,CH,"46.068081,8.9658",Ticino,Capriasca
2658402,Termen,CH,"46.32832,8.02221",Wallis,Termen
2658406,Bogn Tenigia,CH,"46.690319,8.95701",Graubünden,Somvix
2658410,Tegerfelden,CH,"47.55809,8.28914",Aargau,Tegerfelden
2658411,Tecknau,CH,"47.451321,7.88399",Basel-Landschaft,Tecknau
2658415,Tavannes,CH,"47.220791,7.19759",Berne,Tavannes
2658417,Täuffelen,CH,"47.065239,7.19704",Bern,Täuffelen
2658418,Täsch,CH,"46.066929,7.77826",Wallis,Täsch
2658421,Tarasp,CH,"46.783329,10.25",Grisons,Scuol
2658424,Tann,CH,"47.268978,8.85024",Zürich,Dürnten
2658426,Tanay,CH,"46.345032,6.83041",Wallis,Miex
2658427,Tamins,CH,"46.829639,9.40648",Graubünden,Tamins
2658431,Tagliada,CH,"46.206619,9.06024",Ticino,Arbedo-Castione
2658432,Tägerwilen,CH,"47.655941,9.13167",Thurgau,Tägerwilen
2658433,Tafers,CH,"46.814831,7.21852",Freiburg,Tafers
2658434,Switzerland,CH,"47.000156,8.014269",Lucerne,Romoos
2658440,Sursee,CH,"47.166672,8.1",Kanton Luzern,Sursee
