id_openweathermap,Ort,country,Koordinaten
2658939,Rüderswil,CH,"46.98415,7.72061"
2658940,Rubigen,CH,"46.898682,7.5446"
2658942,Rovray,CH,"46.784889,6.76445"
2658944,Roveredo,CH,"46.235119,9.12622"
2658945,Rougemont,CH,"46.48597,7.20916"
2658952,Rothrist,CH,"47.30508,7.89196"
2658954,Rothenthurm,CH,"47.104198,8.67585"
2658961,Rossinière,CH,"46.466949,7.08205"
2658963,Rossens,CH,"46.72068,7.10369"
2658968,Röschenz,CH,"47.42366,7.48024"
2658969,Rorschach,CH,"47.478001,9.4903"
2658974,Rorbas,CH,"47.530918,8.57555"
2658975,Ropraz,CH,"46.61657,6.7492"
2658976,Root,CH,"47.114578,8.39021"
2658977,Rongellen,CH,"46.674358,9.44181"
2658978,Rondchâtel,CH,"47.176781,7.24652"
2658982,Romont,CH,"46.696522,6.91898"
